"Author","Review Text","Review Rating","Date","Photos","Likes","Owner Answer","Owner Answer Date","Author Profile","Author Props","Author Image","Review URL"
"Samruddhi Magade","Excellent faculty , good level of test papers . Overall it is a good institute .",3,"6 months ago",0,0,,,"https://www.google.com/maps/contrib/102351313010056202443?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocKUeld23Kh1ufGHdMdkKQBjZsgMyZ_5tFFb_N-RXC1i4eq3Nw=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Shobha Kharat","Best Institute and best faculty and staff for jee and neet",5,"6 months ago",0,1,,,"https://www.google.com/maps/contrib/100662177891833626148?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocJwwG19lbHf9AAId8Xx_uAR7CkKgdAnCR_JXxljP6GiZfCRiw=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"BlurryHorizonn","Allen class is amazing... With responsible teachers and quality education",5,"6 months ago",0,0,,,"https://www.google.com/maps/contrib/111958541276503681530?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a-/ALV-UjXay2C5sjOiCZCBEK3ixVKo2fV8aRvbnUPzqOWuOSUbqWJBjbLs=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Madhuri Vishal","Best place to enroll your child for studies. Study material, classroom environment, teaching methodology, DOUBT REMOVAL COUNTER helps students alot. This year many  foundation 10 students also scored above 90% marks in class 10 board examination. Many students scored 100% marks in mathematics and social science.",5,"5 years ago",0,7,,,"https://www.google.com/maps/contrib/106607331496068986526?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a-/ALV-UjVl24FFaO1_gsz33PRYeNc3k2AlLisvLOxgi9V4o3Toj-meQ4KYfg=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Kainat Shaikh","I have a very Good Experience with Allen ....Very co-operative and Experienced Staff",5,"6 months ago",0,1,,,"https://www.google.com/maps/contrib/105840975336285770674?hl=en-GB&ved=1t:31293&ictx=111","3 reviews","https://lh3.googleusercontent.com/a-/ALV-UjUzDxoSzrVsHohXv7BBHeHuUMgBFLKzMIXcxp9_BTJcSWQ0wJFW=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Agrata Shukla","Good place for studies nice faculty and staff",5,"6 months ago",0,0,,,"https://www.google.com/maps/contrib/116699758751878257136?hl=en-GB&ved=1t:31293&ictx=111","2 reviews","https://lh3.googleusercontent.com/a-/ALV-UjUCN_zgp1bS2bFgG7eTHb0GT-KJ4uGy63Pm_jlj-7Cduwx5kHhAhQ=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Taiyyaba Khatoon Qazi","Allen  Kharghar is an absolutely amazing coaching Institute for student",5,"6 months ago",0,0,,,"https://www.google.com/maps/contrib/105533092655692511654?hl=en-GB&ved=1t:31293&ictx=111","2 reviews","https://lh3.googleusercontent.com/a-/ALV-UjW4ibV08u-0SJ9gtwzvgK4ZR5TqrAo2HVG55hbH5J3GDlt__3s=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Dank Person","Could've given 0 if possible. Money making institute which only focuses on the students who get most marks. If you're a student not the best but willing to improve DO NOT JOIN, if you want teachers who will provide equal attention to each and every student DO NOT JOIN. In short DO NOT JOIN. I've attended this institute so please take my word.",1,"4 years ago",0,19,,,"https://www.google.com/maps/contrib/101264149967418504299?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocLxMytS8M0iI6p4dVHlCsO6H0xAhAdLIrVAGWfoYMTTe4DuIg=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Epsilon Delta","Yes tuitions are a waste of time and money be it private or public don't do it self study is more important for self anylsis.yes but if you are lazy then it is the best place to study till 10. Downside 4 hour per day which way to much but they have to cover lots of topic. Yes they solve your doubts teachers are good and supportive. Bad thing children are categorised into different groups from the marks they get but I think so that they can give more attention to bad children.now if you are busy and have lots of homework don't join that also give a bit of homework which is troublesome but that explain the concept and teach new things according to which group you are so thank you for reading and sparing your valuable time. ByeEdit: after sometime i noticed something.people shouldn't write their complete personal opinion in the review. Just a bit is okay. Anyways now comes the main topic , it's your mistake that you are not good why are you even attending a coaching institute they ain't gonna help you to become better . You are alone in this world and you have no one besides yourself so help yourself. You cannot blame others for not better results. You can always change the class from advanced to foundation so you can understand easier. The advanced class in only for those people who are capable of understanding without any explanation then why do you complain. I personally hold grudges against tution and coaching classes. Have you ever seen the hoarding s of the coaching institute. Tell me what do you see. Students right why students are only there because they take the result of the best student and display there to tell that we are very good. They take the credit for the students hardwork. What are coaching institute good for? That is my question. Aren't teachers in school enough why put extra burden on students. Everyone works According to their capabilities and you have to understand that. Coaching institutes can earn you good amount of money but why teach there? There are many schools we can utilise our talent there. That's the problem with us we just get into the flow so much that we forget about others. We are greedy and curious. That's human nature. Think why you should attend a coaching institute. If you can't then you are hopeless you should have a reason and if you don't then you don't believe in your self. Learn to believe in yourself. Nobody in this retarded world will help you. Help yourself. Some of these are my personal opinion so don't argue with me. Bye and thank you",3,"4 years ago",0,9,,,"https://www.google.com/maps/contrib/113742672638595123260?hl=en-GB&ved=1t:31293&ictx=111","3 reviews·22 photos","https://lh3.googleusercontent.com/a-/ALV-UjUSpBp9UMyw12SxBfKkFBfSPYPw9DCP-TxI_Def9Y8nktz1hfpn=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"She who must not be named","Even if they say that ""we are the best!"", I think it's false... I didn't even get any attention and was blamed for not doing anything good... I was the only girl in their 'ADVANCED' 6TH GRADE  SESSION....  Worst one ever.. The physics teacher of the 6th advanced session was the worst one of all... And I wasn't the only one who got this behavior, but some other students also got this type of 'good' behavior.... I don't know if you like this place or not ..... But for me, this is the worst coaching centre of all.... I would call this as ""best place for bad behaviour coaching classes""",1,"6 years ago",0,12,,,"https://www.google.com/maps/contrib/103564150253867164117?hl=en-GB&ved=1t:31293&ictx=111","Local Guide·37 reviews·144 photos","https://lh3.googleusercontent.com/a-/ALV-UjWT3UoeH7o-lM-PWuo-k3pfbFLqdQ9fuFECqSP5PVlRKcDPbiOV=s40-c-rp-mo-ba4-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
